multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad,imagen,patente_imagen,ratio
93,3646HBH,1932-01-01,08:04,73.0,60,AV LIBERTADOR,R01,IMPAGA,13.0,10.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/d3729058c6a4186e_patente.jpg,3646HBH,1.0
101,RFH373,2022-12-05,14:04,101.0,40,AV LIBERTADOR,R01,PAGADA,61.0,59.0,,,
109,DI2LOT,1932-01-01,00:00,77.0,60,AV SIEMPRE VIVA,R03,PAGADA,17.0,14.0,,,
129,T0YDR,1932-01-01,00:00,123.0,80,AV SIEMPRE VIVA,R02,PAGADA,43.0,39.0,,,
131,409,1932-01-01,09:07,106.0,80,AV SIEMPRE VIVA,R01,PAGADA,26.0,22.0,,,
134,UW3932,1932-01-01,18:06,101.0,80,RUTA 9,R01,APELADA,21.0,17.0,,,
140,MVU4688,1932-01-01,09:08,110.0,60,AV LIBERTADOR,R03,PAGADA,50.0,47.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,1.0
141,INTIGR8,2022-04-13,00:00,108.0,60,AV LIBERTADOR,R03,IMPAGA,48.0,45.0,,,
146,T0YDR,1932-01-01,18:07,125.0,80,AV LIBERTADOR,R02,APELADA,45.0,41.0,,,
150,INTIGR8,1932-01-01,08:07,100.0,60,AV SIEMPRE VIVA,R03,APELADA,40.0,37.0,,,
155,691XC80,2024-01-03,00:00,116.0,80,RUTA 9,R01,PAGADA,36.0,32.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,1.0
161,990XYK,1932-01-01,09:08,82.0,60,AV LIBERTADOR,R01,APELADA,22.0,19.0,,,
162,NTHGLFT,1932-01-01,08:07,118.0,60,AV LIBERTADOR,R03,IMPAGA,58.0,55.0,,,
164,MVU4688,1932-01-01,00:00,97.0,80,RUTA 9,R03,PAGADA,17.0,13.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,1.0
170,WEFLYN,1932-01-01,18:08,88.0,80,AV LIBERTADOR,R02,PAGADA,8.0,4.0,,,
171,CD05601,1932-01-01,00:00,75.0,40,RUTA 9,R03,IMPAGA,35.0,33.0,,,
172,810TCH,2020-02-08,14:05,110.0,40,RUTA 9,R03,APELADA,70.0,68.0,,,
176,B81JKY,1932-01-01,09:09,91.0,60,AV SIEMPRE VIVA,R01,PAGADA,31.0,28.0,,,
178,WU341A,1932-01-01,09:09,70.0,60,RUTA 9,R02,PAGADA,10.0,7.0,,,
183,UM96201,1932-01-01,08:08,102.0,40,AV SIEMPRE VIVA,R03,PAGADA,62.0,60.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,1.0
190,VNK296GP,1932-01-01,09:10,153.0,80,AV LIBERTADOR,R01,PAGADA,73.0,69.0,,,
193,3646HBH,1932-01-01,09:10,117.0,40,AV SIEMPRE VIVA,R01,PAGADA,77.0,75.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/d3729058c6a4186e_patente.jpg,3646HBH,1.0
200,5777770,2022-09-13,14:06,85.0,60,RUTA 9,R02,PAGADA,25.0,22.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,5777770,1.0
204,6611172,2020-04-18,14:06,93.0,80,AV LIBERTADOR,R03,PAGADA,13.0,9.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,1.0
207,OUTSTDN,1932-01-01,14:07,159.0,80,AV SIEMPRE VIVA,R02,PAGADA,79.0,75.0,,,
211,2999961,1932-01-01,00:00,97.0,80,RUTA 9,R03,PAGADA,17.0,13.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/5ff91ccfc6f15d04_patente.jpg,2999961,1.0
216,M431ZW,1932-01-01,09:11,109.0,60,RUTA 9,R03,APELADA,49.0,46.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,0.83
217,B81JKY,1932-01-01,00:00,92.0,40,RUTA 9,R03,APELADA,52.0,50.0,,,
218,5777770,1932-01-01,00:00,129.0,60,AV LIBERTADOR,R02,APELADA,69.0,66.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,5777770,1.0
221,RFH373,1932-01-01,09:11,156.0,80,AV SIEMPRE VIVA,R02,APELADA,76.0,72.0,,,
228,CT5B876,1932-01-01,18:10,141.0,80,RUTA 9,R02,APELADA,61.0,57.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/39c193bcc0c00f9e_patente.jpg,C75B876,0.86
229,8B90638,1932-01-01,18:10,104.0,60,AV LIBERTADOR,R01,PAGADA,44.0,41.0,,,
231,AI7OVF,1932-01-01,14:07,108.0,60,AV LIBERTADOR,R03,APELADA,48.0,45.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,0.83
233,NHZ1002,1932-01-01,18:10,108.0,40,AV SIEMPRE VIVA,R01,APELADA,68.0,66.0,,,
236,831MDB,1932-01-01,08:09,70.0,60,RUTA 9,R03,PAGADA,10.0,7.0,,,
240,W326AVE,1932-01-01,08:10,100.0,80,AV SIEMPRE VIVA,R01,APELADA,20.0,16.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,1.0
243,NHZ1002,2021-03-15,00:00,116.0,40,AV LIBERTADOR,R02,IMPAGA,76.0,74.0,,,
247,GN64OTP,1932-01-01,18:11,141.0,80,RUTA 9,R02,APELADA,61.0,57.0,,,
249,6611172,1932-01-01,08:10,78.0,60,AV LIBERTADOR,R02,APELADA,18.0,15.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,1.0
259,HAMSTUR,1932-01-01,14:09,141.0,80,AV SIEMPRE VIVA,R03,PAGADA,61.0,57.0,,,
263,990XYK,1932-01-01,18:12,98.0,60,AV SIEMPRE VIVA,R02,PAGADA,38.0,35.0,,,
275,WEFLYN,1932-01-01,14:09,139.0,80,AV LIBERTADOR,R03,APELADA,59.0,55.0,,,
294,810TCH,1932-01-01,18:14,82.0,40,RUTA 9,R03,IMPAGA,42.0,40.0,,,
297,GOOGLE,1932-01-01,00:00,88.0,60,AV SIEMPRE VIVA,R03,APELADA,28.0,25.0,,,
303,CBMUK,1932-01-01,14:10,99.0,60,AV LIBERTADOR,R01,APELADA,39.0,36.0,,,
306,XIIUME,2023-07-26,08:12,133.0,80,AV SIEMPRE VIVA,R02,IMPAGA,53.0,49.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b.jpg,XIIUME,1.0
307,409,2023-01-06,18:14,96.0,40,RUTA 9,R01,PAGADA,56.0,54.0,,,
311,CBMUK,2023-04-02,09:13,120.0,40,RUTA 9,R01,PAGADA,80.0,78.0,,,
315,MPX9357,1932-01-01,09:14,104.0,60,AV LIBERTADOR,R03,IMPAGA,44.0,41.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/182268e1f8c6525f_patente.jpg,MPX9357,1.0
317,GN64OTP,1932-01-01,18:15,88.0,80,RUTA 9,R01,IMPAGA,8.0,4.0,,,
319,WU341A,1932-01-01,09:14,73.0,40,AV LIBERTADOR,R02,IMPAGA,33.0,31.0,,,
324,HAMSTUR,1932-01-01,09:14,96.0,80,AV LIBERTADOR,R03,PAGADA,16.0,12.0,,,
328,GN64OTP,1932-01-01,14:11,156.0,80,AV SIEMPRE VIVA,R02,PAGADA,76.0,72.0,,,
329,UM96201,1932-01-01,18:15,133.0,60,RUTA 9,R03,APELADA,73.0,70.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,1.0
340,T0YDR,2021-10-25,18:15,105.0,40,AV LIBERTADOR,R03,APELADA,65.0,63.0,,,
342,6611172,2023-12-03,09:16,79.0,40,AV LIBERTADOR,R03,APELADA,39.0,37.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,1.0
354,HF58HXP,1932-01-01,14:12,105.0,80,AV LIBERTADOR,R01,APELADA,25.0,21.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,0.86
356,MX60NZA,1932-01-01,09:16,67.0,60,AV LIBERTADOR,R02,PAGADA,7.0,4.0,,,
364,HK06YMX,1932-01-01,14:12,90.0,40,AV LIBERTADOR,R02,PAGADA,50.0,48.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,0.86
371,8B90638,1932-01-01,18:17,90.0,40,RUTA 9,R01,IMPAGA,50.0,48.0,,,
380,691XC80,1932-01-01,09:18,103.0,80,AV LIBERTADOR,R01,APELADA,23.0,19.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,1.0
382,589222,1932-01-01,08:14,135.0,80,AV SIEMPRE VIVA,R01,IMPAGA,55.0,51.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/246a0e4264a39433_patente.jpg,589222,1.0
385,409,2021-07-14,08:14,45.0,40,AV LIBERTADOR,R02,APELADA,5.0,3.0,,,
387,MX60NZA,1932-01-01,00:00,125.0,60,AV SIEMPRE VIVA,R02,IMPAGA,65.0,62.0,,,
389,GE1466,1932-01-01,14:13,112.0,80,AV LIBERTADOR,R03,IMPAGA,32.0,28.0,,,
397,HF3461,1932-01-01,00:00,94.0,80,RUTA 9,R02,APELADA,14.0,10.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,1.0
399,810TCH,1932-01-01,09:19,69.0,40,AV SIEMPRE VIVA,R03,IMPAGA,29.0,27.0,,,
402,YLO8WUE,1932-01-01,09:19,119.0,60,RUTA 9,R02,APELADA,59.0,56.0,,,
404,PIW4215,1932-01-01,18:18,49.0,40,AV SIEMPRE VIVA,R03,PAGADA,9.0,7.0,,,
406,WU08YWC,1932-01-01,09:20,155.0,80,AV LIBERTADOR,R02,PAGADA,75.0,71.0,,,
407,6EVY261,1932-01-01,08:15,115.0,60,RUTA 9,R01,PAGADA,55.0,52.0,,,
408,MVU4688,1932-01-01,18:18,91.0,40,AV LIBERTADOR,R02,IMPAGA,51.0,49.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,1.0
410,UM96201,1932-01-01,00:00,98.0,60,AV SIEMPRE VIVA,R01,PAGADA,38.0,35.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,1.0
414,YLO8WUE,1932-01-01,09:20,59.0,40,AV LIBERTADOR,R02,IMPAGA,19.0,17.0,,,
416,BX55DOG,1932-01-01,14:13,97.0,40,AV LIBERTADOR,R01,IMPAGA,57.0,55.0,,,
421,XIIUME,1932-01-01,08:15,115.0,40,RUTA 9,R02,PAGADA,75.0,73.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b.jpg,XIIUME,1.0
422,XIIUME,1932-01-01,18:19,116.0,60,AV SIEMPRE VIVA,R01,IMPAGA,56.0,53.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b.jpg,XIIUME,1.0
428,GN64OTP,1932-01-01,09:20,68.0,60,RUTA 9,R03,APELADA,8.0,5.0,,,
432,6NCE831,2023-06-20,09:21,88.0,80,RUTA 9,R01,PAGADA,8.0,4.0,,,
433,VY90540,1932-01-01,08:16,66.0,60,RUTA 9,R03,APELADA,6.0,3.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente.jpg,VY90540,1.0
435,T0YDR,1932-01-01,00:00,91.0,60,RUTA 9,R01,PAGADA,31.0,28.0,,,
444,3646HBH,1932-01-01,00:00,74.0,60,AV LIBERTADOR,R02,PAGADA,14.0,11.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/d3729058c6a4186e_patente.jpg,3646HBH,1.0
449,CD05601,1932-01-01,09:21,99.0,80,AV LIBERTADOR,R02,IMPAGA,19.0,15.0,,,
456,XIIUME,2020-05-05,18:21,116.0,80,AV LIBERTADOR,R02,IMPAGA,36.0,32.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b.jpg,XIIUME,1.0
467,OUTSTDN,1932-01-01,00:00,146.0,80,AV SIEMPRE VIVA,R01,PAGADA,66.0,62.0,,,
471,B81JKY,1932-01-01,00:00,84.0,60,AV SIEMPRE VIVA,R03,PAGADA,24.0,21.0,,,
472,YLO8WUE,2020-04-28,00:00,75.0,40,AV LIBERTADOR,R02,PAGADA,35.0,33.0,,,
473,2999961,2021-03-29,18:22,99.0,60,AV SIEMPRE VIVA,R03,IMPAGA,39.0,36.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/5ff91ccfc6f15d04_patente.jpg,2999961,1.0
476,6NCE831,1932-01-01,00:00,106.0,60,AV SIEMPRE VIVA,R03,PAGADA,46.0,43.0,,,
479,PIW4215,1932-01-01,18:22,94.0,80,AV LIBERTADOR,R01,PAGADA,14.0,10.0,,,
481,831MDB,1932-01-01,09:23,93.0,80,RUTA 9,R03,IMPAGA,13.0,9.0,,,
484,UM96201,1932-01-01,08:17,77.0,40,AV SIEMPRE VIVA,R02,IMPAGA,37.0,35.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,1.0
488,6611172,1932-01-01,14:15,100.0,60,AV LIBERTADOR,R03,PAGADA,40.0,37.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,1.0
490,81ZFJD,2020-04-10,09:23,62.0,40,AV SIEMPRE VIVA,R03,IMPAGA,22.0,20.0,,,
492,M431ZW,1932-01-01,09:23,62.0,40,AV SIEMPRE VIVA,R02,APELADA,22.0,20.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,0.83
493,MPX9357,1932-01-01,09:23,80.0,60,AV LIBERTADOR,R02,PAGADA,20.0,17.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/182268e1f8c6525f_patente.jpg,MPX9357,1.0
497,BB8986,1932-01-01,14:16,150.0,80,AV SIEMPRE VIVA,R02,IMPAGA,70.0,66.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,1.0
498,BX55DOG,1932-01-01,00:00,103.0,60,RUTA 9,R03,APELADA,43.0,40.0,,,
506,691XC80,1932-01-01,14:16,53.0,40,AV LIBERTADOR,R01,PAGADA,13.0,11.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,1.0
514,9999868,2022-02-09,09:24,71.0,40,AV SIEMPRE VIVA,R02,APELADA,31.0,29.0,,,
515,MX60NZA,1932-01-01,18:24,117.0,80,AV LIBERTADOR,R02,PAGADA,37.0,33.0,,,
518,GOOGLE,1932-01-01,18:24,146.0,80,AV SIEMPRE VIVA,R01,APELADA,66.0,62.0,,,
519,WU08YWC,2022-10-15,08:18,100.0,40,AV LIBERTADOR,R01,IMPAGA,60.0,58.0,,,
524,HF3461,1932-01-01,18:24,87.0,80,AV LIBERTADOR,R03,IMPAGA,7.0,3.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,1.0
526,FD1475,2022-07-30,00:00,129.0,60,AV LIBERTADOR,R02,APELADA,69.0,66.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD147,0.83
536,HAMSTUR,1932-01-01,08:19,47.0,40,AV SIEMPRE VIVA,R02,PAGADA,7.0,5.0,,,
541,WEFLYN,1932-01-01,08:19,118.0,40,RUTA 9,R03,APELADA,78.0,76.0,,,
545,WEFLYN,1932-01-01,09:25,81.0,60,AV SIEMPRE VIVA,R01,IMPAGA,21.0,18.0,,,
551,MX60NZA,1932-01-01,00:00,90.0,60,RUTA 9,R02,IMPAGA,30.0,27.0,,,
555,HAMSTUR,1932-01-01,14:18,98.0,40,AV LIBERTADOR,R01,APELADA,58.0,56.0,,,
564,6611172,1932-01-01,14:18,118.0,80,AV LIBERTADOR,R03,APELADA,38.0,34.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,1.0
565,6NCE831,1932-01-01,14:19,134.0,80,AV LIBERTADOR,R02,APELADA,54.0,50.0,,,
571,FVIOUHP,1932-01-01,09:26,87.0,60,RUTA 9,R01,IMPAGA,27.0,24.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVIDUHP,0.86
574,GE1466,1932-01-01,18:26,78.0,60,RUTA 9,R01,APELADA,18.0,15.0,,,
578,HF3461,1932-01-01,09:27,126.0,80,AV SIEMPRE VIVA,R02,APELADA,46.0,42.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,1.0
581,8B90638,1932-01-01,18:26,107.0,60,AV LIBERTADOR,R03,APELADA,47.0,44.0,,,
582,INTIGR8,1932-01-01,14:20,95.0,60,AV SIEMPRE VIVA,R01,APELADA,35.0,32.0,,,
583,DK414N,1932-01-01,08:21,76.0,60,AV SIEMPRE VIVA,R03,APELADA,16.0,13.0,,,
587,HF3461,1932-01-01,00:00,100.0,40,AV SIEMPRE VIVA,R01,PAGADA,60.0,58.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,1.0
593,B81JKY,2022-06-01,18:27,141.0,80,AV SIEMPRE VIVA,R02,PAGADA,61.0,57.0,,,
600,WEFLYN,1932-01-01,14:20,153.0,80,AV LIBERTADOR,R03,IMPAGA,73.0,69.0,,,
608,FD1475,2020-10-21,08:22,113.0,80,AV LIBERTADOR,R02,APELADA,33.0,29.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD147,0.83
613,T0YDR,1932-01-01,08:22,111.0,80,AV LIBERTADOR,R03,APELADA,31.0,27.0,,,
615,GOOGLE,1932-01-01,18:28,116.0,80,RUTA 9,R03,APELADA,36.0,32.0,,,
616,HF58HXP,1932-01-01,14:21,76.0,60,AV SIEMPRE VIVA,R02,PAGADA,16.0,13.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,0.86
625,VTIIAHV,1932-01-01,09:29,97.0,80,AV LIBERTADOR,R01,APELADA,17.0,13.0,,,
626,589222,1932-01-01,09:29,131.0,80,AV SIEMPRE VIVA,R02,PAGADA,51.0,47.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/246a0e4264a39433_patente.jpg,589222,1.0
629,FVIOUHP,1932-01-01,00:00,88.0,40,AV SIEMPRE VIVA,R02,APELADA,48.0,46.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVIDUHP,0.86
637,FVIOUHP,1932-01-01,08:23,139.0,60,AV SIEMPRE VIVA,R03,IMPAGA,79.0,76.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVIDUHP,0.86
639,MPX9357,2022-11-28,14:21,134.0,60,RUTA 9,R02,IMPAGA,74.0,71.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/182268e1f8c6525f_patente.jpg,MPX9357,1.0
643,YLO8WUE,1932-01-01,14:22,87.0,60,AV SIEMPRE VIVA,R02,PAGADA,27.0,24.0,,,
647,HK06YMX,1932-01-01,14:22,95.0,80,RUTA 9,R03,IMPAGA,15.0,11.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,0.86
648,TL03GOG,1932-01-01,09:30,85.0,60,RUTA 9,R03,IMPAGA,25.0,22.0,,,
650,NTHGLFT,2020-06-14,00:00,86.0,80,AV LIBERTADOR,R03,PAGADA,6.0,2.0,,,
652,HAMSTUR,2022-06-10,14:22,75.0,40,AV SIEMPRE VIVA,R03,PAGADA,35.0,33.0,,,
664,PIW4215,1932-01-01,18:30,73.0,40,RUTA 9,R02,IMPAGA,33.0,31.0,,,
665,J1S1,1932-01-01,08:24,75.0,60,RUTA 9,R02,PAGADA,15.0,12.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,1.0
669,BX55DOG,1932-01-01,14:23,82.0,60,RUTA 9,R03,APELADA,22.0,19.0,,,
670,NTHGLFT,2020-02-04,00:00,55.0,40,AV SIEMPRE VIVA,R01,APELADA,15.0,13.0,,,
671,T0YDR,1932-01-01,09:31,52.0,40,RUTA 9,R03,PAGADA,12.0,10.0,,,
675,WEFLYN,1932-01-01,14:23,104.0,60,AV LIBERTADOR,R03,PAGADA,44.0,41.0,,,
677,990XYK,1932-01-01,00:00,74.0,40,AV LIBERTADOR,R01,IMPAGA,34.0,32.0,,,
684,AI7OVF,1932-01-01,18:31,113.0,60,AV LIBERTADOR,R03,APELADA,53.0,50.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,0.83
699,DK414N,1932-01-01,09:33,133.0,60,RUTA 9,R02,APELADA,73.0,70.0,,,
700,PIW4215,1932-01-01,09:33,96.0,80,AV SIEMPRE VIVA,R03,PAGADA,16.0,12.0,,,
713,BHRP770,2020-12-12,00:00,119.0,80,AV LIBERTADOR,R01,APELADA,39.0,35.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,1.0
714,9999868,2021-01-25,09:34,149.0,80,AV SIEMPRE VIVA,R01,PAGADA,69.0,65.0,,,
718,831MDB,1932-01-01,08:25,135.0,60,AV LIBERTADOR,R02,APELADA,75.0,72.0,,,
720,RFH373,2023-08-21,08:25,116.0,80,AV LIBERTADOR,R03,APELADA,36.0,32.0,,,
727,HF58HXP,1932-01-01,08:26,69.0,60,AV LIBERTADOR,R01,IMPAGA,9.0,6.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,0.86
732,CT5B876,1932-01-01,14:25,88.0,80,AV SIEMPRE VIVA,R01,IMPAGA,8.0,4.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/39c193bcc0c00f9e_patente.jpg,C75B876,0.86
733,2999961,1932-01-01,00:00,127.0,60,RUTA 9,R01,APELADA,67.0,64.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/5ff91ccfc6f15d04_patente.jpg,2999961,1.0
